    ,0                 ,1
0   ,支气管炎              ,8675
1   ,急性上呼吸道感染          ,4303
2   ,上感                ,3219
3   ,腹泻                ,2283
4   ,急性扁桃体炎            ,1680
5   ,支气管肺炎             ,1464
6   ,体检                ,1344
7   ,纳差                ,1161
8   ,急性化脓性扁桃体炎         ,1079
9   ,肺炎                ,926
10  ,生长发育              ,895
11  ,哮喘                ,874
12  ,腹痛                ,822
13  ,VD不足              ,805
14  ,RRI               ,805
15  ,消化不良              ,776
16  ,癫痫                ,760
17  ,抽动症               ,757
18  ,扁桃体炎              ,754
19  ,便秘                ,695
20  ,肠炎                ,688
21  ,疱疹性咽峡炎            ,669
22  ,喘息性支气管炎           ,606
23  ,过敏性鼻炎             ,553
24  ,CVA               ,525
25  ,慢性咳嗽              ,502
26  ,鼻炎                ,496
27  ,发热                ,468
28  ,过敏性皮疹             ,448
29  ,支原体感染             ,437
30  ,疱疹性口腔炎            ,433
31  ,佝偻病               ,415
32  ,咨询                ,413
33  ,贫血                ,384
34  ,化扁                ,379
35  ,鼻衄                ,373
36  ,CPP               ,365
37  ,手足口病              ,346
38  ,川崎病               ,344
39  ,湿疹                ,337
40  ,乳房发育              ,332
41  ,结膜炎               ,331
42  ,肝功异常              ,275
43  ,皮疹                ,275
44  ,喘支炎               ,270
45  ,ADHD              ,269
46  ,呕吐                ,246
47  ,咽炎                ,245
48  ,生长偏离              ,245
49  ,肠系膜淋巴结炎           ,241
50  ,过敏性紫癜             ,239
51  ,感染                ,231
52  ,鼻窦炎               ,225
53  ,HSP               ,225
54  ,IgA肾病             ,223
55  ,营养不良              ,223
56  ,肥胖                ,213
57  ,CHD               ,203
58  ,多汗                ,196
59  ,传单                ,191
60  ,矮身材               ,189
61  ,地中海贫血             ,189
62  ,PGHD              ,174
63  ,先心病               ,174
64  ,甲低                ,168
65  ,乳房早发育             ,166
66  ,GHD               ,165
67  ,NS                ,164
68  ,抽搐                ,161
69  ,语言发育落后            ,159
70  ,黄疸                ,157
71  ,荨麻疹               ,156
72  ,ALL               ,156
73  ,肾病综合征             ,151
74  ,身材矮小              ,150
75  ,发作性症状             ,150
76  ,偏矮                ,146
77  ,溃疡性口腔炎            ,145
78  ,吐奶                ,143
79  ,血尿                ,141
80  ,缺铁性贫血             ,139
81  ,发育落后              ,136
82  ,急性喉炎              ,136
83  ,青春期               ,135
84  ,包茎                ,131
85  ,尿路感染              ,131
86  ,HSPN              ,131
87  ,新生儿肺炎             ,130
88  ,包皮过长              ,128
89  ,头痛                ,126
90  ,青春期追高             ,124
91  ,VSD               ,123
92  ,ITP               ,122
93  ,便血                ,122
94  ,热性惊厥              ,120
95  ,厌食                ,116
96  ,性早熟               ,116
97  ,儿保                ,112
98  ,室间隔缺损             ,112
99  ,气管                ,111
100 ,上呼吸道感染            ,109
101 ,青春晚期              ,109
102 ,喉                 ,108
103 ,低钙                ,107
104 ,咳嗽变异性哮喘           ,106
105 ,VD低水平             ,104
106 ,卵圆孔未闭             ,103
107 ,颈部淋巴结炎            ,102
108 ,血管瘤               ,102
109 ,低体重               ,102
110 ,遗尿症               ,101
111 ,早产儿               ,98
112 ,喉炎                ,97
113 ,急性胃肠炎             ,97
114 ,胃炎                ,96
115 ,尿布疹               ,95
116 ,眼底筛查              ,94
117 ,头晕                ,92
118 ,运动发育落后            ,92
119 ,慢性非萎缩性胃炎          ,91
120 ,幼儿急疹              ,90
121 ,新生儿黄疸             ,90
122 ,生长迟缓              ,89
123 ,咽峡炎               ,88
124 ,胃肠型               ,87
125 ,链球菌感染             ,86
126 ,早佝                ,84
127 ,AR                ,83
128 ,患儿未到未查            ,82
129 ,病毒性皮疹             ,80
130 ,咽喉炎               ,79
131 ,预防佝偻病             ,79
132 ,LCH               ,78
133 ,EP                ,77
134 ,反复呼吸道感染           ,75
135 ,肠痉挛               ,74
136 ,血小板减少             ,74
137 ,细菌性               ,73
138 ,消化功能紊乱            ,73
139 ,轻度                ,73
140 ,尿频                ,72
141 ,地贫                ,71
142 ,隐匿阴茎              ,70
143 ,喘息性肺炎             ,69
144 ,鹅口疮               ,68
145 ,VD正常低水平           ,67
146 ,肝功能异常             ,66
147 ,CLT               ,65
148 ,ISS               ,65
149 ,腿痛                ,65
150 ,晕厥                ,64
151 ,紫癜性肾炎             ,62
152 ,支气管哮喘             ,60
153 ,生长痛               ,59
154 ,HP感染              ,59
155 ,构音不良              ,58
156 ,矮小                ,58
157 ,患儿未到              ,57
158 ,高胰岛素血症            ,56
159 ,胃肠炎               ,55
160 ,颈部淋巴结长大           ,55
161 ,上气道咳嗽综合征          ,54
162 ,房间隔缺损             ,53
163 ,室性早搏              ,53
164 ,β                 ,52
165 ,腹胀                ,51
166 ,胸痛                ,51
167 ,细菌感染              ,51
168 ,脓毒症               ,50
169 ,发作样症状             ,50
170 ,部分生长激素缺乏症         ,50
171 ,传染性单核细胞增多症        ,50
172 ,要求销号              ,49
173 ,SGA               ,49
174 ,ASD               ,49
175 ,智力低下              ,49
176 ,轻度脱水              ,48
177 ,要求新生儿眼底筛查         ,48
178 ,MP感染              ,48
179 ,中耳炎               ,48
180 ,高热惊厥              ,48
181 ,睡眠不良              ,48
182 ,心律失常              ,46
183 ,GD                ,46
184 ,低T                ,45
185 ,肺部感染              ,45
186 ,斜颈                ,45
187 ,生长激素缺乏症           ,44
188 ,迁延性腹泻             ,44
189 ,上感胃肠型             ,44
190 ,腺样体肥大             ,44
191 ,慢性扁桃体炎            ,43
192 ,鞘膜积液              ,43
193 ,颈淋巴结炎             ,43
194 ,HLH               ,43
195 ,外阴炎               ,43
196 ,结果咨询              ,43
197 ,血小板减少症            ,42
198 ,水痘                ,42
199 ,血症                ,42
200 ,肛裂                ,42
201 ,反复扁桃体炎            ,42
202 ,小青春               ,41
203 ,超重                ,41
204 ,先天性心脏病            ,41
205 ,消瘦                ,40
206 ,患儿未就诊             ,40
207 ,孤独症               ,40
208 ,脑瘫                ,39
209 ,青春期晚期             ,39
210 ,吸大气               ,39
211 ,口腔溃疡              ,39
212 ,肠功能紊乱             ,39
213 ,毛细支气管炎            ,39
214 ,遗尿                ,39
215 ,睡眠差               ,38
216 ,青春发育              ,38
217 ,M                 ,38
218 ,腮腺炎               ,38
219 ,AML               ,37
220 ,粒细胞减少             ,37
221 ,心脏杂音              ,37
222 ,多动症               ,37
223 ,过敏性皮炎             ,37
224 ,睡眠障碍              ,36
225 ,急性肠炎              ,36
226 ,动脉导管未闭            ,36
227 ,喘息性支气管肺炎          ,36
228 ,漏斗胸               ,36
229 ,单纯乳房早发育           ,36
230 ,特发性矮小             ,36
231 ,PDA               ,36
232 ,咽扁桃体炎             ,36
233 ,单纯性肥胖             ,36
234 ,L                 ,35
235 ,乙肝                ,35
236 ,急性荨麻疹             ,35
237 ,化疗后骨髓抑制           ,34
238 ,胸闷                ,33
239 ,重型β               ,32
240 ,丘疹样荨麻疹            ,32
241 ,哭闹                ,32
242 ,上感细菌性             ,32
243 ,喉软骨发育不良           ,31
244 ,复杂性热性惊厥           ,30
245 ,急性上呼吸道感染胃肠型       ,30
246 ,肺动脉瓣狭窄            ,30
247 ,频发室早              ,30
248 ,甲亢                ,30
249 ,DMD               ,29
250 ,粒细胞减少症            ,29
251 ,JIA               ,29
252 ,心肌炎               ,29
253 ,胃肠功能紊乱            ,29
254 ,衣原体感染             ,29
255 ,脐疝                ,29
256 ,反复感冒              ,29
257 ,肺结核               ,29
258 ,牙龈炎               ,29
259 ,脱发                ,28
260 ,淋巴结炎              ,28
261 ,虫咬性皮炎             ,28
262 ,病毒感染              ,28
263 ,高TSH血症            ,28
264 ,支原体肺炎             ,28
265 ,过敏性咳嗽             ,28
266 ,三尖瓣反流             ,28
267 ,鼻后滴流              ,27
268 ,蛋白尿               ,27
269 ,生长缓慢              ,27
270 ,体检正常              ,27
271 ,SLE               ,26
272 ,婴儿痉挛症             ,26
273 ,毛支炎               ,26
274 ,WT                ,26
275 ,鸡胸                ,25
276 ,生长发育落后            ,25
277 ,轻型                ,25
278 ,系统性红斑狼疮           ,25
279 ,大叶性肺炎             ,25
280 ,轻度生长迟缓            ,25
281 ,构音障碍              ,24
282 ,继发性癫痫             ,24
283 ,HIE               ,24
284 ,隐匿性阴茎             ,24
285 ,化脓性扁桃体炎           ,24
286 ,VSD术后             ,24
287 ,室缺                ,23
288 ,胃食道反流             ,23
289 ,语言表达延迟            ,23
290 ,桥甲炎               ,23
291 ,脓疱疹               ,23
292 ,十二指肠球炎            ,22
293 ,语言落后              ,22
294 ,丘疹性荨麻疹            ,22
295 ,心前区疼痛             ,22
296 ,MR                ,22
297 ,轻型β               ,22
298 ,IDA               ,22
299 ,α                 ,21
300 ,颈部包块              ,21
301 ,EBV               ,21
302 ,狼疮性肾炎             ,21
303 ,DD                ,21
304 ,右下肺炎              ,21
305 ,大便干结              ,21
306 ,感染性腹泻             ,21
307 ,脑损伤               ,21
308 ,右侧腹股沟斜疝           ,21
309 ,新生儿高胆红素血症         ,21
310 ,耳后淋巴结炎            ,20
311 ,急性化脓性扁桃腺炎         ,20
312 ,EB病毒感染            ,20
313 ,恶心                ,20
314 ,运动落后              ,20
315 ,综合征               ,20
316 ,轻度营养不良            ,20
317 ,右肺肺炎              ,20
318 ,地图舌               ,20
319 ,肛周脓肿              ,20
320 ,包皮垢               ,20
321 ,心动过速              ,20
322 ,原发性肾病综合征          ,19
323 ,左侧腹股沟斜疝           ,19
324 ,地中海贫血移植后          ,19
325 ,APL               ,19
326 ,膜周型               ,19
327 ,甲功异常              ,19
328 ,腹股沟斜疝             ,19
329 ,急性胃炎              ,19
330 ,前囟闭合延迟            ,19
331 ,心累                ,19
332 ,肥胖症               ,19
333 ,房性早搏              ,19
334 ,移植后               ,19
335 ,CP                ,19
336 ,月                 ,19
337 ,AA                ,18
338 ,生理性杂音             ,18
339 ,巨细胞病毒感染           ,18
340 ,生长速度减缓            ,18
341 ,尿道口炎              ,18
342 ,步态异常              ,18
343 ,慢性腹泻              ,18
344 ,气道高反应性            ,18
345 ,口角炎               ,18
346 ,粒细胞缺乏症            ,17
347 ,慢性咽炎              ,17
348 ,年                 ,17
349 ,慢性胃炎              ,17
350 ,功能性消化不良           ,17
351 ,抗O增高              ,16
352 ,埋藏阴茎              ,16
353 ,胆汁反流              ,16
354 ,脂肪肝               ,16
355 ,皮肌炎               ,16
356 ,声嘶                ,16
357 ,热痱                ,16
358 ,眼肌型               ,16
359 ,要求开药              ,16
360 ,凝血功能异常            ,16
361 ,TS                ,16
362 ,混合型               ,15
363 ,双下肢疼痛             ,15
364 ,臀纹不对称             ,15
365 ,轻度低体重             ,15
366 ,HTD               ,15
367 ,青春早期              ,15
368 ,轻度贫血              ,15
369 ,房缺                ,15
370 ,小阴茎               ,15
371 ,颌下淋巴结炎            ,15
372 ,三系降低              ,15
373 ,口腔炎               ,15
374 ,缺铁                ,15
375 ,型                 ,15
376 ,生长落后              ,15
377 ,PS                ,15
378 ,右冠状动脉扩张           ,14
